column_name,total_rows,missing_rows,pct_missing
other10,3130105,3130105,100.0
source_type,3130105,3130105,100.0
sector_id,3130105,3130105,100.0
lat_lon,3130105,3130105,100.0
other6,3130105,2243407,71.67
other9,3130105,2105707,67.27
other5,3130105,568533,18.16
other2,3130105,533115,17.03
other1,3130105,490930,15.68
lat,3130105,489830,15.65
lon,3130105,489830,15.65
other4,3130105,420750,13.44
other8,3130105,170733,5.45
other3_def,3130105,0,0.0
other10_def,3130105,0,0.0
other8_def,3130105,0,0.0
other7_def,3130105,0,0.0
other7,3130105,0,0.0
other6_def,3130105,0,0.0
created_date,3130105,0,0.0
other5_def,3130105,0,0.0
modified_date,3130105,0,0.0
native_source_id,3130105,0,0.0
other4_def,3130105,0,0.0
other9_def,3130105,0,0.0
source_id,3130105,0,0.0
other3,3130105,0,0.0
temporal_granularity,3130105,0,0.0
iso3_country,3130105,0,0.0
sector,3130105,0,0.0
subsector,3130105,0,0.0
start_time,3130105,0,0.0
end_time,3130105,0,0.0
geometry_ref,3130105,0,0.0
gas,3130105,0,0.0
emissions_quantity,3130105,0,0.0
activity,3130105,0,0.0
other2_def,3130105,0,0.0
activity_units,3130105,0,0.0
emissions_factor,3130105,0,0.0
emissions_factor_units,3130105,0,0.0
capacity,3130105,0,0.0
capacity_units,3130105,0,0.0
capacity_factor,3130105,0,0.0
other1_def,3130105,0,0.0
source_name,3130105,0,0.0
reporting_entity,3130105,0,0.0
